,                      name ,                   mean ,                    std ,                  min ,           max , n_bad , length ,
,       spec_ecpl_e_cut_err ,              2.4721708 ,              1.6217576 ,                  1.1 ,           7.2 ,   154 ,    166 ,
,   spec_ecpl_e_cut_err_sys ,                    1.9 ,              0.6683312 ,                  1.0 ,           2.6 ,   163 ,    166 ,
,           spec_ecpl_e_ref ,                    1.0 ,                    0.0 ,                  1.0 ,           1.0 ,   154 ,    166 ,
,           spec_erange_min ,             0.42023644 ,             0.23584649 ,                0.075 ,           1.0 ,    92 ,    166 ,
,           spec_erange_max ,              23.311762 ,              26.412355 ,                 0.25 ,         100.0 ,   118 ,    166 ,
,                spec_theta ,              0.3423667 ,             0.24275152 ,                 0.09 ,           1.2 ,   106 ,    166 ,
,            spec_dnde_1TeV ,              3.418e-12 ,           5.643096e-12 ,        4.1278643e-15 , 3.5060458e-11 ,    66 ,    166 ,
,        spec_dnde_1TeV_err ,          4.0346264e-13 ,           5.158642e-13 ,        4.7680992e-15 , 3.7754418e-12 ,    66 ,    166 ,
,            spec_flux_1TeV ,          2.6429481e-12 ,          4.5180166e-12 ,         9.599684e-16 , 2.3394972e-11 ,    66 ,    166 ,
,        spec_flux_1TeV_err ,          4.0405624e-13 ,          5.0499654e-13 ,        1.2197367e-15 , 2.3460736e-12 ,    66 ,    166 ,
,       spec_flux_1TeV_crab ,              12.740517 ,              21.779417 ,          0.004627595 ,      112.7771 ,    66 ,    166 ,
,   spec_flux_1TeV_crab_err ,              1.9477813 ,              2.4343715 ,          0.005879826 ,     11.309413 ,    66 ,    166 ,
,     spec_eflux_1TeV_10TeV ,           9.289194e-12 ,          1.6573862e-11 ,         2.003107e-15 ,   9.26578e-11 ,    66 ,    166 ,
, spec_eflux_1TeV_10TeV_err ,             1.5989e-12 ,           2.130033e-12 ,        2.6141628e-15 , 1.1198168e-11 ,    66 ,    166 ,
,          sed_reference_id ,                     -- ,                     -- ,                   -- ,            -- ,     0 ,    166 ,
,              sed_n_points ,      5.343373493975903 ,      5.319563637577541 ,                    0 ,            30 ,     0 ,    166 ,
,                  sed_n_ul ,     0.1686746987951807 ,     0.5222582361853794 ,                    0 ,             3 ,     0 ,    166 ,
,                 sed_e_ref ,              5.3573356 ,               8.885878 ,            0.0774234 ,         68.72 ,  5737 ,    166 ,
,                 sed_e_min ,                 5.0635 ,              7.8981376 ,             0.151863 ,       49.3947 ,  6445 ,    166 ,
,                 sed_e_max ,               8.083213 ,              14.994821 ,             0.183999 ,         113.2 ,  6445 ,    166 ,
,                  sed_dnde ,          9.7305886e-11 ,          1.1321801e-09 ,         -6.64708e-15 ,      2.48e-08 ,  5753 ,    166 ,
,              sed_dnde_err ,          6.7995496e-12 ,          3.5969828e-11 ,            5.329e-16 , 3.6143635e-10 ,  6437 ,    166 ,
,             sed_dnde_errp ,           3.418534e-11 ,          4.1471662e-10 ,            2.269e-17 ,   8.44003e-09 ,  5956 ,    166 ,
,             sed_dnde_errn ,           3.405892e-11 ,          4.1470186e-10 ,        1.1591001e-17 ,   8.44003e-09 ,  5956 ,    166 ,
,               sed_dnde_ul ,           9.076845e-13 ,          3.5716187e-12 ,            3.964e-17 , 1.8967909e-11 ,  6612 ,    166 ,
